Designator,Mid X,Mid Y,Layer,Rotation
C600,121.2375mm,80.15mm,Top,270.0
C609,112.925mm,81.575mm,Top,270.0
C610,107.527mm,88.125mm,Top,0.0
C611,122.35mm,86.22500000000001mm,Top,270.0
C612,122.35mm,88.125mm,Top,90.0
C613,108.425mm,83.60000000000001mm,Top,0.0
C614,122.35mm,84.10000000000001mm,Top,90.0
C615,112.25mm,90.9mm,Top,90.0
C616,110.57499999999999mm,86.0625mm,Top,270.0
D600,130.95mm,81.0mm,Top,90.0
D601,118.175mm,79.67500000000001mm,Top,180.0
D602,115.19999999999999mm,79.67500000000001mm,Top,0.0
D603,110.66754999999999mm,90.50500000000001mm,Top,270.0
Q600,126.50999999999999mm,84.22500000000001mm,Top,90.0
Q601,126.6mm,90.9mm,Top,180.0
R600,122.3mm,82.05000000000001mm,Top,270.0
R601,122.3mm,80.15mm,Top,270.0
R617,121.05mm,90.9mm,Top,90.0
R625,110.39999999999999mm,83.575mm,Top,0.0
R626,120.175mm,80.15mm,Top,270.0
R627,113.05mm,79.7mm,Top,270.0
R628,110.175mm,88.125mm,Top,180.0
U602,116.69999999999999mm,86.375mm,Top,90.0
U603,108.07499999999999mm,90.375mm,Top,270.0
U604,108.125mm,85.9mm,Top,0.0
C601_2,21.4mm,77.9mm,Bottom,180.0
C602_2,21.4mm,78.85mm,Bottom,180.0
C603_2,19.2mm,78.85mm,Bottom,0.0
C604_2,21.4mm,79.8mm,Bottom,180.0
C605_2,19.741668mm,65.975mm,Bottom,270.0
C606_2,19.2mm,79.8mm,Bottom,180.0
C607_2,23.625mm,62.3mm,Bottom,270.0
C608_2,29.875mm,79.575mm,Bottom,90.0
C617_2,27.224628mm,85.4mm,Bottom,180.0
C618_2,21.625mm,82.975064mm,Bottom,270.0
D604_2,19.45mm,83.375mm,Bottom,90.0
R602_2,24.5mm,71.075mm,Bottom,90.0
R603_2,26.5mm,71.85mm,Bottom,270.0
R604_2,19.2mm,77.9mm,Bottom,0.0
R605_2,25.5mm,71.875mm,Bottom,90.0
R606_2,24.775mm,63.275mm,Bottom,90.0
R607_2,18.675mm,65.975mm,Bottom,90.0
R608_2,25.5mm,69.975mm,Bottom,270.0
R609_2,29.85mm,76.975mm,Bottom,90.0
R610_2,22.25mm,67.9mm,Bottom,90.0
R611_2,22.25mm,65.975mm,Bottom,90.0
R612_2,20.983334mm,65.975mm,Bottom,270.0
R613_2,28.15mm,76.0mm,Bottom,0.0
R614_2,28.924999999999997mm,79.579291mm,Bottom,270.0
R615_2,28.45mm,77.525mm,Bottom,270.0
R616_2,28.424999999999997mm,62.325mm,Bottom,90.0
R618_2,26.5mm,74.6mm,Bottom,90.0
R619_2,25.5mm,73.775mm,Bottom,90.0
R620_2,24.5mm,73.775mm,Bottom,270.0
R621_2,29.36mm,85.4mm,Bottom,180.0
R622_2,28.424999999999997mm,64.275mm,Bottom,270.0
R623_2,24.5mm,75.65mm,Bottom,90.0
R624_2,30.825mm,79.575mm,Bottom,270.0
R629_2,25.213652mm,85.39mm,Bottom,0.0
R630_2,27.939999999999998mm,70.56mm,Bottom,90.0
U600_2,20.95mm,73.35mm,Bottom,180.0
U601_2,29.875mm,82.7mm,Bottom,270.0
U605_2,25.149628mm,81.2mm,Bottom,90.0
C600_2,19.575mm,71.1125mm,Top,180.0
C609_2,21.0mm,79.425mm,Top,180.0
C610_2,27.549999999999997mm,84.823mm,Top,270.0
C611_2,25.65mm,70.0mm,Top,180.0
C612_2,27.549999999999997mm,70.0mm,Top,0.0
C613_2,23.025mm,83.925mm,Top,270.0
C614_2,23.525mm,70.0mm,Top,0.0
C615_2,30.325mm,80.1mm,Top,0.0
C616_2,25.487499999999997mm,81.775mm,Top,180.0
D600_2,20.425mm,61.4mm,Top,0.0
D601_2,19.099999999999998mm,74.175mm,Top,90.0
D602_2,19.099999999999998mm,77.15mm,Top,270.0
D603_2,29.93mm,81.68245mm,Top,180.0
Q600_2,23.65mm,65.84mm,Top,0.0
Q601_2,30.325mm,65.75mm,Top,90.0
R600_2,21.474999999999998mm,70.05mm,Top,180.0
R601_2,19.575mm,70.05mm,Top,180.0
R617_2,30.325mm,71.3mm,Top,0.0
R625_2,23.0mm,81.95mm,Top,270.0
R626_2,19.575mm,72.175mm,Top,180.0
R627_2,19.125mm,79.3mm,Top,180.0
R628_2,27.549999999999997mm,82.175mm,Top,90.0
U602_2,25.799999999999997mm,75.65mm,Top,0.0
U603_2,29.799999999999997mm,84.275mm,Top,180.0
U604_2,25.325mm,84.225mm,Top,270.0
C474,29.385mm,49.2036mm,Bottom,0.0
R470,30.3mm,45.550000000000004mm,Bottom,270.0
U471,29.353mm,50.585mm,Top,270.0
R474,29.3854mm,51.45mm,Bottom,270.0
R473,29.85mm,50.190400000000004mm,Bottom,0.0
R472,30.3mm,47.675000000000004mm,Bottom,270.0
C473,28.4mm,51.550000000000004mm,Bottom,270.0
C472,30.25mm,51.550000000000004mm,Bottom,90.0
U470,29.353mm,46.61mm,Top,270.0
R471,29.4mm,45.550000000000004mm,Bottom,90.0
C471,28.4mm,45.6mm,Bottom,90.0
C470,28.4mm,47.725mm,Bottom,270.0
C474_2,34.585mm,49.2036mm,Bottom,0.0
R470_2,35.5mm,45.550000000000004mm,Bottom,270.0
U471_2,34.553000000000004mm,50.585mm,Top,270.0
R474_2,34.5854mm,51.45mm,Bottom,270.0
R473_2,35.050000000000004mm,50.190400000000004mm,Bottom,0.0
R472_2,35.5mm,47.675000000000004mm,Bottom,270.0
C473_2,33.6mm,51.550000000000004mm,Bottom,270.0
C472_2,35.45mm,51.550000000000004mm,Bottom,90.0
U470_2,34.553000000000004mm,46.61mm,Top,270.0
R471_2,34.6mm,45.550000000000004mm,Bottom,90.0
C471_2,33.6mm,45.6mm,Bottom,90.0
C470_2,33.6mm,47.725mm,Bottom,270.0
R428,54.5094mm,49.3795mm,Bottom,90.0
R427,41.375mm,48.025mm,Bottom,0.0
R426,52.900800000000004mm,48.3849mm,Top,270.0
R425,51.5927mm,55.5mm,Top,90.0
R424,51.5927mm,57.7971mm,Top,270.0
LED4,39.8331mm,47.1361mm,Top,270.0
LED3,52.900800000000004mm,50.5342mm,Top,90.0
LED2,52.6741mm,55.525mm,Top,90.0
LED1,52.6741mm,57.7721mm,Top,270.0
R422,45.683400000000006mm,47.025mm,Bottom,180.0
C426,51.915000000000006mm,52.425mm,Top,0.0
